experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,1,1,1,14.6452,18.68,,1,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,2,1,2,21.12481,22.68,,1,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,3,2,1,24.44252,25.18,,2,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,4,2,2,38.50404,39.04,,2,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,5,3,1,41.98693,42.78,,3,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,6,3,2,44.28404,44.86,,3,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,7,4,1,46.80095,47.52,,1,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,8,4,2,48.98264,50.02,,1,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,9,5,1,51.56122,52.2,,2,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,late-c7a8ca4d-757b-4899-a5e0-c73961828e42,1,10,5,2,53.82441,54.28,,2,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/late-c7a8ca4d-757b-4899-a5e0-c73961828e42/S001/trackers/mentor_left_stylus_movement_T010.csv
