experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,needletip_movement_location_0
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,1,1,1,10.07798,10.98,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T001.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,2,1,2,12.50862,13.32,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T002.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,3,1,3,14.58607,15.36,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T003.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,4,1,4,16.69477,17.1,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T004.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,5,1,5,18.46925,19.18,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T005.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,6,1,6,20.44393,21.38,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T006.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,7,1,7,22.64581,23.46,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T007.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,8,1,8,24.62546,25.28,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T008.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,9,1,9,26.46928,27.28,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T009.csv
reaching,sleek-38f7539c-63e8-40b2-bb37-11b1021529ae,1,10,1,10,28.93673,29.7,reaching/sleek-38f7539c-63e8-40b2-bb37-11b1021529ae/S001/trackers/needletip_movement_T010.csv
